epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.433,2.03939,3.05777,1.76738,0.0262,0.93907,0.35893,0.20675,1.44989,2.92098,1.24911,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482,0.00195745,0.000652482
2,63.2276,1.4405,1.79954,1.31544,0.91928,0.86141,0.94317,0.5844,1.2317,1.34796,1.15708,0.00391827,0.00130609,0.00391827,0.00130609,0.00391827,0.00130609,0.00391827,0.00130609
3,75.1821,1.19803,1.04313,1.1617,0.91251,0.92354,0.96125,0.65981,1.10259,0.97394,1.09712,0.00583949,0.0019465,0.00583949,0.0019465,0.00583949,0.0019465,0.00583949,0.0019465
4,86.8624,1.07637,0.87029,1.08062,0.92844,0.92473,0.96966,0.72553,0.95548,0.83441,0.98911,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,98.5367,1.01451,0.78791,1.04304,0.93953,0.94863,0.97695,0.73759,0.94307,0.78298,0.99142,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,111.306,0.95745,0.73252,1.01565,0.9396,0.94786,0.98202,0.76427,0.90614,0.70786,0.95598,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,123.736,0.92431,0.69536,0.99894,0.93336,0.95387,0.98076,0.77382,0.87217,0.67729,0.94694,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,137.78,0.89071,0.65721,0.98744,0.93233,0.96177,0.98438,0.77807,0.87046,0.63488,0.9585,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,150.301,0.84777,0.62529,0.97202,0.96477,0.94874,0.98624,0.77648,0.87072,0.61188,0.95834,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,162.99,0.8361,0.61055,0.96456,0.95032,0.95699,0.98282,0.78856,0.81771,0.59813,0.94263,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,175.65,0.80826,0.57588,0.95728,0.95004,0.95417,0.98455,0.80387,0.83596,0.56927,0.96598,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,188.546,0.79623,0.57209,0.95254,0.94666,0.95424,0.98315,0.80188,0.83194,0.55518,0.97059,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,201.037,0.78033,0.54451,0.94774,0.96741,0.95102,0.9864,0.80587,0.83115,0.53456,0.95713,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,213.677,0.77247,0.53308,0.94224,0.9547,0.95689,0.98662,0.80922,0.8096,0.52112,0.946,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,226.211,0.74997,0.52573,0.93838,0.957,0.95728,0.98676,0.81299,0.78992,0.52812,0.93997,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,239.105,0.73987,0.51403,0.92955,0.94698,0.96774,0.98757,0.82024,0.77902,0.51912,0.93377,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,252.395,0.73142,0.50372,0.92715,0.95938,0.9593,0.98571,0.81799,0.76623,0.52044,0.94072,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,265.712,0.72292,0.4964,0.92597,0.95953,0.96307,0.98942,0.82521,0.78201,0.51724,0.94182,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,278.532,0.7028,0.47989,0.91929,0.95942,0.96535,0.98882,0.81485,0.79447,0.50624,0.92704,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,291.65,0.69308,0.47501,0.92038,0.95938,0.94743,0.98405,0.83101,0.73929,0.48989,0.91412,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,305.504,0.69351,0.47214,0.91688,0.95776,0.95102,0.9859,0.82163,0.78353,0.50342,0.94642,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,320.828,0.68182,0.45747,0.91737,0.95654,0.9546,0.98715,0.83249,0.74454,0.48481,0.94271,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,335.091,0.69858,0.46318,0.91858,0.96078,0.96057,0.98933,0.83431,0.75593,0.45986,0.93975,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,346.805,0.6873,0.45622,0.92062,0.95996,0.96416,0.98956,0.83643,0.74584,0.46718,0.9288,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,358.181,0.68086,0.44983,0.91596,0.9662,0.95619,0.98893,0.82782,0.74196,0.4577,0.94479,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,373.784,0.65509,0.43932,0.90847,0.96641,0.96255,0.98921,0.84454,0.72644,0.45203,0.94014,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,388.526,0.65671,0.4386,0.90886,0.96634,0.96416,0.98922,0.84632,0.71897,0.44944,0.93062,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,403.059,0.64873,0.42918,0.90538,0.94857,0.96535,0.98765,0.83636,0.74055,0.47199,0.93924,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,415.364,0.64549,0.42721,0.90884,0.96865,0.95818,0.98851,0.84036,0.73402,0.45158,0.9378,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,427.028,0.65863,0.4301,0.90701,0.96491,0.95938,0.98877,0.85129,0.70972,0.44737,0.93159,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,438.674,0.64887,0.42424,0.91175,0.96817,0.95818,0.98933,0.85027,0.70631,0.43563,0.92356,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
